MnII,2606.478271,0.05655474,2.720E+08
MnII,2594.512068,0.0800212,2.780E+08
MnII,2576.890898,0.10314131,2.820E+08
MnII,1201.118,0.121,7.85e8
MnII,1199.391,0.169,7.85e8
MnII,1197.184,0.217,7.84e8
FeI,3720.992414,0.03771089,1.630E+07
FeI,3441.591552,0.02165394,1.000E+08
FeI,3021.518346,0.09542416,1.690E+08
FeI,2984.439846,0.02660866,1.750E+08
FeI,2967.764135,0.04018825,1.270E+08
FeI,2719.832683,0.11193988,1.750E+08
FeI,2523.607932,0.18626062,3.850E+08
FeI,2501.88569,0.0493,3.850E+08
FeI,2484.020536,0.49914176,5.000E+08
FeI,2463.391889,0.04881313,5.000E+08
FeI,2298.8769,0.0245,1.350E8
FeI,2167.4534,0.15,2.74E8
FeI,1851.69,0.0222,5.558E7
FeII,2600.1720322,0.21929206,2.700E+08
FeII,2586.6492304,0.06340201,2.720E+08
FeII,2382.7639122,0.2936128,3.130E+08
FeII,2374.4599813,0.028719,3.090E+08
FeII,2344.2126822,0.10459956,2.680E+08
FeII,1608.4509059,0.05294206,2.740E+08
FeII,1260.533,0.024,1.26E8
FeII,1144.9379,0.083,3.520E8
FeII,1121.9748,0.029,1.92e8
FeII,1096.8769,0.0327,2.260E8
FeII,1063.1764,0.0547,3.23E8
FeIII,1122.524,0.0544,3.70e8
CoII,2012.1664,0.0368,3.45e8
CoII,1941.2852,0.034,4.35e8
CoII,1574.5508,0.025,6.73e7
CoII,1466.211,0.031,3.78e7
NiI,2320.7468,0.685,6.94E8
NiI,2311.669,0.3765,4.700E8
NiII,1751.91549,0.0277,3.700E+08
NiII,1741.55289,0.0427,5.000E+08
NiII,1709.60402,0.0324,4.350E+08
NiII,1454.842,0.0323,1.02E8
NiII,1393.324,0.02222,3.47E7
NiII,1370.132,0.0769,4.10e8
NiII,1317.217,0.146,4.205e8
CuII,1367.9509,0.179,6.23e8
CuII,1358.773,0.263,7.20e8
ZnI,2138.5735,1.47,7.14e8
ZnII,2062.661017,0.1196298,3.860E+08
ZnII,2026.135785,0.0939375,4.070E+08
ZnII,2026.137628,0.2436363,4.070E+08
GaII,1414.402,1.77,1.97e9
GeII,1602.4863,0.144,1.06E9
GeII,1237.0591,1.23,2.68e9
GeII,1164.272,0.28,1.38e9
AsII,1263.77,0.259,3.61E8
AsII,1207.449,0.0234,3.56E7
AsII,1181.538,0.0309,4.92E7
